"ABILITY",5,"ACADEMIC ABILITY"
"ABILITY",5,"CITIZENSHIP SKILLS"
"ABILITY",5,"COMMUNICATION SKILLS"
"ABILITY",5,"MEDIA LITERACY"
"ABILITY",5,"NUMERACY"
"ABILITY",5,"PERSONAL EFFICACY"
"ABILITY",5,"SOCIAL SKILLS"
"ABILITY",5,"TEACHING SKILLS"
"ABILITY",5,"TECHNOLOGICAL LITERACY"
"ABILITY",8,"ABILITY EVALUATION"
"ABILITY",8,"ABILITY GROUPING"
"ABILITY",8,"APTITUDE TESTS"
"ABILITY",8,"ASPIRATION"
"ABILITY",8,"INTELLIGENCE"
"ABILITY",8,"LEARNING"
"ABILITY",8,"SPECIALIZATION"
"ABILITY EVALUATION",6,"EVALUATION"
"ABILITY EVALUATION",7,"EVALUATION"
"ABILITY EVALUATION",8,"ABILITY"
"ABILITY EVALUATION",8,"ABILITY GROUPING"
"ABILITY EVALUATION",8,"DISABILITIES"
"ABILITY EVALUATION",8,"EDUCATIONAL ASSESSMENT"
"ABILITY EVALUATION",8,"LITERACY"
"ABILITY EVALUATION",8,"NUMERACY"
"ABILITY EVALUATION",8,"PERSONNEL SELECTION"
"ABILITY GROUPING",6,"EDUCATIONAL GROUPING"
"ABILITY GROUPING",7,"EDUCATION"
"ABILITY GROUPING",8,"ABILITY"
"ABILITY GROUPING",8,"ABILITY EVALUATION"
"ABILITY GROUPING",8,"ACADEMIC ABILITY"
"ABORTION (INDUCED)",6,"OBSTETRIC SURGERY"
"ABORTION (INDUCED)",7,"MEDICAL SCIENCES"
"ABORTION (INDUCED)",8,"BIRTH CONTROL METHODS"
"ABORTION (INDUCED)",8,"CHILDBIRTH"
"ABORTION (INDUCED)",8,"FAMILY PLANNING"
"ABORTION (INDUCED)",8,"GYNAECOLOGY"
"ABORTION (INDUCED)",8,"LABOUR COMPLICATIONS"
"ABORTION (INDUCED)",8,"MISCARRIAGE"
"ABORTION (INDUCED)",8,"OBSTETRICS"
"ABSENTEEISM",6,"LEAVE"
"ABSENTEEISM",7,"LABOUR AND EMPLOYMENT"
"ABUSE",5,"CHILD ABUSE"
"ABUSE",5,"DRUG ABUSE"
"ABUSE",5,"SOLVENT ABUSE"
"ABUSE",6,"SOCIAL PROBLEMS"
"ABUSE",7,"SOCIAL PROBLEMS"
"ABUSE",8,"ADDICTION"
"ABUSE",8,"ANTISOCIAL BEHAVIOUR"
"ABUSE",8,"ASSAULT"
"ABUSE OF THE ELDERLY",6,"CRIMES AGAINST PERSONS"
"ABUSE OF THE ELDERLY",6,"SOCIAL PROBLEMS"
"ABUSE OF THE ELDERLY",7,"OFFENCES"
"ABUSE OF THE ELDERLY",7,"SOCIAL PROBLEMS"
"ABUSE OF THE ELDERLY",8,"CARE OF THE ELDERLY"
"ABUSE OF THE ELDERLY",8,"DOMESTIC VIOLENCE"
"ABUSE OF THE ELDERLY",8,"ELDERLY"
"ACADEMIC ABILITY",6,"ABILITY"
"ACADEMIC ABILITY",7,"ABILITY"
"ACADEMIC ABILITY",8,"ABILITY GROUPING"
"ACADEMIC ABILITY",8,"ACADEMIC ACHIEVEMENT"
"ACADEMIC ABILITY",8,"EDUCATIONAL ASSESSMENT"
"ACADEMIC ABILITY",8,"EDUCATIONAL GROUPING"
"ACADEMIC ABILITY",8,"EDUCATIONAL LEVELS"
"ACADEMIC ACHIEVEMENT",6,"ACHIEVEMENT"
"ACADEMIC ACHIEVEMENT",7,"ACHIEVEMENT"
"ACADEMIC ACHIEVEMENT",8,"ACADEMIC ABILITY"
"ACADEMIC ACHIEVEMENT",8,"EDUCATIONAL CERTIFICATES"
"ACADEMIC ACHIEVEMENT",8,"EDUCATIONAL LEVELS"
"ACADEMIC ACHIEVEMENT",8,"EDUCATIONAL PSYCHOLOGY"
"ACADEMIC DEPARTMENTS",6,"EDUCATIONAL ADMINISTRATION"
"ACADEMIC DEPARTMENTS",7,"ADMINISTRATION"
"ACADEMIC DEPARTMENTS",7,"EDUCATIONAL PLANNING AND ADMINISTRATION"
"ACADEMIC FREEDOM",6,"CIVIL AND POLITICAL RIGHTS"
"ACADEMIC FREEDOM",7,"RIGHTS AND PRIVILEGES"
"ACADEMIC FREEDOM",8,"RIGHT TO EDUCATION"
"ACCESS TO COUNTRYSIDE",6,"COUNTRYSIDE"
"ACCESS TO COUNTRYSIDE",7,"ENVIRONMENT"
"ACCESS TO COUNTRYSIDE",7,"FACILITIES"
"ACCESS TO COUNTRYSIDE",8,"OUTDOOR PURSUITS"
"ACCESS TO EDUCATION",6,"EDUCATIONAL OPPORTUNITIES"
"ACCESS TO EDUCATION",7,"EDUCATION"
"ACCESS TO EDUCATION",8,"EDUCATIONAL DISCRIMINATION"
"ACCESS TO EDUCATION",8,"EQUAL EDUCATION"
"ACCESS TO EDUCATION",8,"RIGHT TO EDUCATION"
"ACCESS TO FACILITIES",6,"FACILITIES"
"ACCESS TO FACILITIES",7,"FACILITIES"
"ACCESS TO HEALTH SERVICES",6,"HEALTH SERVICES"
"ACCESS TO HEALTH SERVICES",7,"SOCIAL WELFARE"
"ACCESS TO INFORMATION",5,"INFORMATION RETRIEVAL"
"ACCESS TO INFORMATION",6,"COMMUNICATION CONTROL"
"ACCESS TO INFORMATION",7,"COMMUNICATION"
"ACCESS TO INFORMATION",8,"CENSORSHIP"
"ACCESS TO INFORMATION",8,"INFORMATION TRANSFER"
"ACCESS TO INFORMATION",8,"INFORMATION USE"
"ACCESS TO INFORMATION",8,"RIGHT TO INFORMATION"
"ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY",5,"INTERNET ACCESS"
"ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY",6,"INFORMATION AND COMMUNICATIONS TECHNOLOGY"
"ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY",7,"COMMUNICATION"
"ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY",7,"TECHNOLOGY"
"ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY",8,"INFORMATION SOCIETY"
"ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY",8,"INTERNET USE"
"ACCIDENTS",5,"ACCIDENTS AT WORK"
"ACCIDENTS",5,"ACCIDENTS IN THE HOME"
"ACCIDENTS",5,"FIRE"
"ACCIDENTS",5,"NUCLEAR ACCIDENTS"
"ACCIDENTS",5,"TRANSPORT ACCIDENTS"
"ACCIDENTS",6,"HAZARDS, ACCIDENTS AND DISASTERS"
"ACCIDENTS",7,"HAZARDS, ACCIDENTS AND DISASTERS"
"ACCIDENTS",8,"DANGEROUS MATERIALS"
"ACCIDENTS",8,"DISASTERS"
"ACCIDENTS",8,"FIRST AID"
"ACCIDENTS",8,"INJURIES"
"ACCIDENTS",8,"OCCUPATIONAL SAFETY"
"ACCIDENTS",8,"RADIATION HAZARDS"
"ACCIDENTS",8,"RESCUE SERVICES"
"ACCIDENTS",8,"SAFETY AND SECURITY"
"ACCIDENTS",8,"SAFETY AND SECURITY MEASURES"
"ACCIDENTS",8,"SAFETY EQUIPMENT"
"ACCIDENTS AT WORK",6,"ACCIDENTS"
"ACCIDENTS AT WORK",7,"HAZARDS, ACCIDENTS AND DISASTERS"
"ACCIDENTS AT WORK",8,"INDUSTRIAL INJURIES"
"ACCIDENTS AT WORK",8,"OCCUPATIONAL SAFETY"
"ACCIDENTS IN THE HOME",6,"ACCIDENTS"
"ACCIDENTS IN THE HOME",7,"HAZARDS, ACCIDENTS AND DISASTERS"
